年月,部門,大項目,中項目,単位,区分,値
2025-11,宿泊,食事,"目標単価1,240円",千円,実績,1506320.0
2025-12,宿泊,食事,"目標単価1,240円",千円,実績,1640968.0
2026-01,宿泊,食事,"目標単価1,240円",千円,実績,1519200.0
2026-02,宿泊,食事,"目標単価1,240円",千円,実績,621760.0
2026-03,宿泊,食事,"目標単価1,240円",千円,実績,0.0
2025-04,宿泊,食事,"目標単価1,240円",千円,実績累計,959267.0
2025-05,宿泊,食事,"目標単価1,240円",千円,実績累計,2253087.0
2025-06,宿泊,食事,"目標単価1,240円",千円,実績累計,3109467.0
2025-07,宿泊,食事,"目標単価1,240円",千円,実績累計,4037657.0
2025-08,宿泊,食事,"目標単価1,240円",千円,実績累計,5418783.0
2025-09,宿泊,食事,"目標単価1,240円",千円,実績累計,6701423.0
2025-10,宿泊,食事,"目標単価1,240円",千円,実績累計,8065868.0
2025-11,宿泊,食事,"目標単価1,240円",千円,実績累計,9572188.0
2025-12,宿泊,食事,"目標単価1,240円",千円,実績累計,11213156.0
2026-01,宿泊,食事,"目標単価1,240円",千円,実績累計,12732356.0
2026-02,宿泊,食事,"目標単価1,240円",千円,実績累計,13354116.0
2026-03,宿泊,食事,"目標単価1,240円",千円,実績累計,13354116.0
2025-04,宿泊,食事,"目標単価1,240円",千円,計画,1474760.837348505
2025-05,宿泊,食事,"目標単価1,240円",千円,計画,1560502.7464966741
2025-06,宿泊,食事,"目標単価1,240円",千円,計画,1367583.450913294
2025-07,宿泊,食事,"目標単価1,240円",千円,計画,1491909.219178139
2025-08,宿泊,食事,"目標単価1,240円",千円,計画,1817728.4739411806
2025-09,宿泊,食事,"目標単価1,240円",千円,計画,1466186.6464336882
2025-10,宿泊,食事,"目標単価1,240円",千円,計画,1534780.1737522234
2025-11,宿泊,食事,"目標単価1,240円",千円,計画,1706263.992048561
2025-12,宿泊,食事,"目標単価1,240円",千円,計画,1457612.455518871
2026-01,宿泊,食事,"目標単価1,240円",千円,計画,1367583.450913294
2026-02,宿泊,食事,"目標単価1,240円",千円,計画,1474760.837348505
2026-03,宿泊,食事,"目標単価1,240円",千円,計画,1714838.1829633783
2025-04,宿泊,食事,"目標単価1,240円",千円,計画累計,1474760.837348505
2025-05,宿泊,食事,"目標単価1,240円",千円,計画累計,3035263.583845179
2025-06,宿泊,食事,"目標単価1,240円",千円,計画累計,4402847.034758473
2025-07,宿泊,食事,"目標単価1,240円",千円,計画累計,5894756.253936612
2025-08,宿泊,食事,"目標単価1,240円",千円,計画累計,7712484.727877793
2025-09,宿泊,食事,"目標単価1,240円",千円,計画累計,9178671.37431148
2025-10,宿泊,食事,"目標単価1,240円",千円,計画累計,10713451.548063705
2025-11,宿泊,食事,"目標単価1,240円",千円,計画累計,12419715.540112266
2025-12,宿泊,食事,"目標単価1,240円",千円,計画累計,13877327.995631138
2026-01,宿泊,食事,"目標単価1,240円",千円,計画累計,15244911.446544431
2026-02,宿泊,食事,"目標単価1,240円",千円,計画累計,16719672.283892937
2026-03,宿泊,食事,"目標単価1,240円",千円,計画累計,18434510.466856316
2025-04,宿泊,食事,"目標単価4,959円",千円,実績,623295.0
2025-05,宿泊,食事,"目標単価4,959円",千円,実績,962333.0
2025-06,宿泊,食事,"目標単価4,959円",千円,実績,801215.0
2025-07,宿泊,食事,"目標単価4,959円",千円,実績,600237.0
2025-08,宿泊,食事,"目標単価4,959円",千円,実績,970496.0
2025-09,宿泊,食事,"目標単価4,959円",千円,実績,1083678.0
2025-10,宿泊,食事,"目標単価4,959円",千円,実績,1106348.0
2025-11,宿泊,食事,"目標単価4,959円",千円,実績,1395891.0
2025-12,宿泊,食事,"目標単価4,959円",千円,実績,1886701.0
2026-01,宿泊,食事,"目標単価4,959円",千円,実績,2551909.0
2026-02,宿泊,食事,"目標単価4,959円",千円,実績,800887.0
2026-03,宿泊,食事,"目標単価4,959円",千円,実績,0.0
2025-04,宿泊,食事,"目標単価4,959円",千円,実績累計,623295.0
2025-05,宿泊,食事,"目標単価4,959円",千円,実績累計,1585628.0
2025-06,宿泊,食事,"目標単価4,959円",千円,実績累計,2386843.0
2025-07,宿泊,食事,"目標単価4,959円",千円,実績累計,2987080.0
2025-08,宿泊,食事,"目標単価4,959円",千円,実績累計,3957576.0
2025-09,宿泊,食事,"目標単価4,959円",千円,実績累計,5041254.0
2025-10,宿泊,食事,"目標単価4,959円",千円,実績累計,6147602.0
2025-11,宿泊,食事,"目標単価4,959円",千円,実績累計,7543493.0
2025-12,宿泊,食事,"目標単価4,959円",千円,実績累計,9430194.0
2026-01,宿泊,食事,"目標単価4,959円",千円,実績累計,11982103.0
2026-02,宿泊,食事,"目標単価4,959円",千円,実績累計,12782990.0
2026-03,宿泊,食事,"目標単価4,959円",千円,実績累計,12782990.0
2025-04,宿泊,食事,"目標単価4,959円",千円,計画,1104774.0827794878
2025-05,宿泊,食事,"目標単価4,959円",千円,計画,1169005.1341038765
2025-06,宿泊,食事,"目標単価4,959円",千円,計画,1024485.2686240016
2025-07,宿泊,食事,"目標単価4,959円",千円,計画,1117620.2930443655
2025-08,宿泊,食事,"目標単価4,959円",千円,計画,1361698.2880770431
2025-09,宿泊,食事,"目標単価4,959円",千円,計画,1098350.977647049
2025-10,宿泊,食事,"目標単価4,959円",千円,計画,1149735.81870656
2025-11,宿泊,食事,"目標単価4,959円",千円,計画,1278197.9213553374
2025-12,宿泊,食事,"目標単価4,959円",千円,計画,1091927.87251461
2026-01,宿泊,食事,"目標単価4,959円",千円,計画,1024485.2686240016
2026-02,宿泊,食事,"目標単価4,959円",千円,計画,1104774.0827794878
2026-03,宿泊,食事,"目標単価4,959円",千円,計画,1284621.0264877763
2025-04,宿泊,食事,"目標単価4,959円",千円,計画累計,1104774.0827794878
2025-05,宿泊,食事,"目標単価4,959円",千円,計画累計,2273779.216883364
2025-06,宿泊,食事,"目標単価4,959円",千円,計画累計,3298264.485507366
2025-07,宿泊,食事,"目標単価4,959円",千円,計画累計,4415884.778551731
2025-08,宿泊,食事,"目標単価4,959円",千円,計画累計,5777583.066628775
2025-09,宿泊,食事,"目標単価4,959円",千円,計画累計,6875934.044275824
2025-10,宿泊,食事,"目標単価4,959円",千円,計画累計,8025669.862982384
2025-11,宿泊,食事,"目標単価4,959円",千円,計画累計,9303867.784337722
2025-12,宿泊,食事,"目標単価4,959円",千円,計画累計,10395795.656852331
2026-01,宿泊,食事,"目標単価4,959円",千円,計画累計,11420280.925476333
2026-02,宿泊,食事,"目標単価4,959円",千円,計画累計,12525055.00825582
2026-03,宿泊,食事,"目標単価4,959円",千円,計画累計,13809676.034743598
